"","Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Expected","Observed","miRNAs/precursors"
"1","Transcription factors (TransmiR)","GTF2I","over-represented",5.12e-06,5.12e-06,0.001849,8.36715,21,"hsa-mir-196a-1; hsa-mir-196a-2; hsa-mir-205; hsa-mir-217; hsa-mir-224; hsa-mir-31; hsa-mir-577; hsa-mir-653; hsa-mir-675; hsa-let-7e; hsa-let-7f-2; hsa-mir-139; hsa-mir-19b-1; hsa-mir-200a; hsa-mir-20b; hsa-mir-323b; hsa-mir-34a; hsa-mir-505; hsa-mir-542; hsa-mir-616; hsa-mir-96"
"2","Transcription factors (TransmiR)","SNAI1","over-represented",5.22e-05,5.22e-05,0.0094154,0.231884,4,"hsa-mir-34c; hsa-mir-375; hsa-mir-200a; hsa-mir-34a"
"3","Transcription factors (TransmiR)","TGFB1","over-represented",0.000144,0.000144,0.0173663,0.541063,5,"hsa-mir-205; hsa-mir-217; hsa-mir-224; hsa-mir-200a; hsa-mir-424"
"4","Transcription factors (TransmiR)","TP73","over-represented",0.000365,0.000365,0.0329227,1.8744,8,"hsa-mir-205; hsa-mir-224; hsa-mir-34c; hsa-mir-200a; hsa-mir-34a; hsa-mir-454; hsa-mir-505; hsa-mir-616"
"5","Transcription factors (TransmiR)","SIRT1","over-represented",0.0010764,0.0010764,0.064764,0.057971,2,"hsa-mir-34a; hsa-mir-424"
"6","Transcription factors (TransmiR)","SOX4","over-represented",0.0010764,0.0010764,0.064764,0.057971,2,"hsa-mir-1269a; hsa-mir-31"
"7","Transcription factors (TransmiR)","JARID2","over-represented",0.0015034,0.0015034,0.077532,3.47826,10,"hsa-mir-196a-1; hsa-mir-196b; hsa-mir-203b; hsa-mir-31; hsa-mir-34c; hsa-mir-375; hsa-mir-653; hsa-mir-139; hsa-mir-34a; hsa-mir-424"
"8","Transcription factors (TransmiR)","MBD3","under-represented",0.0019769,0.0019769,0.0892058,15.6908,7,"hsa-mir-135b; hsa-mir-139; hsa-mir-200a; hsa-mir-34a; hsa-mir-454; hsa-mir-616; hsa-mir-96"
"9","Transcription factors (TransmiR)","BMP4","over-represented",0.0035013,0.0035013,0.118975,0.0966184,2,"hsa-mir-205; hsa-mir-200a"
"10","Transcription factors (TransmiR)","HMGA1","over-represented",0.0035013,0.0035013,0.118975,0.0966184,2,"hsa-mir-196a-2; hsa-mir-331"
"11","Transcription factors (TransmiR)","GATA1","under-represented",0.0036253,0.0036253,0.118975,15.0918,7,"hsa-mir-196b; hsa-mir-675; hsa-mir-19b-1; hsa-mir-454; hsa-mir-505; hsa-mir-5698; hsa-mir-616"
"12","Transcription factors (TransmiR)","CHD8","under-represented",0.0041832,0.0041832,0.125845,16.0773,8,"hsa-mir-224; hsa-mir-653; hsa-let-7e; hsa-mir-105-2; hsa-mir-19b-1; hsa-mir-454; hsa-mir-4677; hsa-mir-616"
"13","Transcription factors (TransmiR)","MXI1","under-represented",0.0050223,0.0050223,0.136333,13.5845,6,"hsa-mir-375; hsa-mir-139; hsa-mir-19b-1; hsa-mir-454; hsa-mir-4677; hsa-mir-616"
"14","Transcription factors (TransmiR)","RARA","under-represented",0.0059797,0.0059797,0.136333,10.9179,4,"hsa-let-7f-2; hsa-mir-19b-1; hsa-mir-4677; hsa-mir-616"
"15","Transcription factors (TransmiR)","STAT1","under-represented",0.0062914,0.0062914,0.136333,17.8164,10,"hsa-mir-196b; hsa-let-7e; hsa-let-7f-2; hsa-mir-139; hsa-mir-19b-1; hsa-mir-34a; hsa-mir-454; hsa-mir-4677; hsa-mir-505; hsa-mir-616"
"16","Transcription factors (TransmiR)","PML","under-represented",0.0063266,0.0063266,0.136333,8.09662,2,"hsa-mir-19b-1; hsa-mir-616"
"17","Transcription factors (TransmiR)","ELF1","under-represented",0.0067221,0.0067221,0.136333,16.6763,9,"hsa-mir-196a-1; hsa-mir-196b; hsa-mir-135b; hsa-mir-19b-1; hsa-mir-454; hsa-mir-4677; hsa-mir-505; hsa-mir-5698; hsa-mir-616"
"18","Transcription factors (TransmiR)","CXXC1","under-represented",0.007126,0.007126,0.136333,12,5,"hsa-mir-196b; hsa-mir-19b-1; hsa-mir-4677; hsa-mir-505; hsa-mir-616"
"19","Transcription factors (TransmiR)","HES1","over-represented",0.0071754,0.0071754,0.136333,0.135266,2,"hsa-mir-205; hsa-mir-19b-1"
"20","Transcription factors (TransmiR)","CDK9","under-represented",0.0083229,0.0083229,0.150228,10.57,4,"hsa-mir-19b-1; hsa-mir-4677; hsa-mir-505; hsa-mir-616"
"21","Transcription factors (TransmiR)","FOXO3","over-represented",0.0094514,0.0094514,0.162474,0.154589,2,"hsa-mir-34c; hsa-mir-34a"
"22","Transcription factors (TransmiR)","TAL1","under-represented",0.0117068,0.0117068,0.170143,16.058,9,"hsa-mir-196b; hsa-mir-205; hsa-mir-375; hsa-mir-675; hsa-mir-19b-1; hsa-mir-4677; hsa-mir-505; hsa-mir-5698; hsa-mir-616"
"23","Transcription factors (TransmiR)","FLI1","under-represented",0.0130469,0.0130469,0.170143,17.0048,10,"hsa-mir-196b; hsa-let-7f-2; hsa-mir-139; hsa-mir-19b-1; hsa-mir-424; hsa-mir-454; hsa-mir-4677; hsa-mir-505; hsa-mir-5698; hsa-mir-616"
"24","Transcription factors (TransmiR)","EGR1","over-represented",0.0130869,0.0130869,0.170143,15.9227,23,"hsa-mir-196a-2; hsa-mir-196b; hsa-mir-203b; hsa-mir-224; hsa-mir-375; hsa-mir-577; hsa-mir-675; hsa-let-7e; hsa-let-7f-2; hsa-mir-135b; hsa-mir-139; hsa-mir-19b-1; hsa-mir-200a; hsa-mir-20b; hsa-mir-34a; hsa-mir-424; hsa-mir-454; hsa-mir-4677; hsa-mir-505; hsa-mir-542; hsa-mir-5698; hsa-mir-616; hsa-mir-96"
"25","Transcription factors (TransmiR)","CHD2","under-represented",0.0131964,0.0131964,0.170143,10.0676,4,"hsa-mir-19b-1; hsa-mir-454; hsa-mir-4677; hsa-mir-616"
"26","Transcription factors (TransmiR)","PHF8","under-represented",0.0163946,0.0163946,0.170143,16.7343,10,"hsa-mir-224; hsa-let-7e; hsa-let-7f-2; hsa-mir-135b; hsa-mir-19b-1; hsa-mir-424; hsa-mir-454; hsa-mir-4677; hsa-mir-505; hsa-mir-616"
"27","Transcription factors (TransmiR)","KMT2A","under-represented",0.0164043,0.0164043,0.170143,12.2705,6,"hsa-mir-31; hsa-mir-34c; hsa-mir-139; hsa-mir-19b-1; hsa-mir-4677; hsa-mir-616"
"28","Transcription factors (TransmiR)","ZBTB48","over-represented",0.0164642,0.0164642,0.170143,2.74396,7,"hsa-mir-196b; hsa-mir-577; hsa-let-7f-2; hsa-mir-19b-1; hsa-mir-454; hsa-mir-4677; hsa-mir-616"
"29","Transcription factors (TransmiR)","CREBBP","under-represented",0.0166003,0.0166003,0.170143,8.50242,3,"hsa-let-7f-2; hsa-mir-19b-1; hsa-mir-4677"
"30","Transcription factors (TransmiR)","TBP","under-represented",0.01681,0.01681,0.170143,14.5314,8,"hsa-mir-196b; hsa-mir-224; hsa-let-7f-2; hsa-mir-19b-1; hsa-mir-454; hsa-mir-4677; hsa-mir-505; hsa-mir-616"
